escopo,estrategia,algoritmo,janela,dist_aeroporto,macro_f1_bal,macro_f1_nat,acc_bal,acc_nat,f1_nao_evento,f1_clima,f1_atraso,exp_id
clima_vs_atraso,pesos_completos,TabTransformer,2h,True,0.9036,0.9034,0.9038,0.9034,,0.9002,0.9071,45
clima_vs_atraso,pesos_completos,LightGBM,2h,False,0.9044,0.9057,0.9044,0.9059,,0.9061,0.9026,46
clima_vs_atraso,pesos_completos,FT-Transformer,2h,False,0.8958,0.8949,0.896,0.8949,,0.8919,0.8998,47
clima_vs_atraso,pesos_completos,TabTransformer,2h,False,0.8982,0.8978,0.8986,0.8979,,0.8918,0.9046,48
3_classes,undersample_111,LightGBM,3h,True,0.946,0.9464,0.946,0.9472,0.9983,0.9221,0.9178,49
3_classes,undersample_111,FT-Transformer,3h,True,0.9006,0.8994,0.9008,0.9006,0.9907,0.8515,0.8596,50
3_classes,undersample_111,TabTransformer,3h,True,0.9255,0.9249,0.9255,0.9257,0.988,0.8924,0.8961,51
3_classes,undersample_111,LightGBM,3h,False,0.615,0.6121,0.6578,0.6519,0.3479,0.7235,0.7736,52
3_classes,undersample_111,FT-Transformer,3h,False,0.6047,0.6006,0.6568,0.6499,0.3161,0.7318,0.7662,53
3_classes,undersample_111,TabTransformer,3h,False,0.5986,0.5945,0.6411,0.634,0.3404,0.7107,0.7449,54
3_classes,pesos_completos,LightGBM,3h,True,0.9468,0.947,0.9468,0.9477,0.9974,0.9231,0.92,55
3_classes,pesos_completos,FT-Transformer,3h,True,0.8937,0.8933,0.8936,0.8943,0.9942,0.838,0.8488,56
3_classes,pesos_completos,TabTransformer,3h,True,0.9175,0.9165,0.9178,0.9174,0.9841,0.8769,0.8915,57
3_classes,pesos_completos,LightGBM,3h,False,0.6103,0.6071,0.6488,0.643,0.3516,0.7182,0.7611,58
3_classes,pesos_completos,FT-Transformer,3h,False,0.5796,0.5757,0.6299,0.6229,0.3098,0.695,0.734,59
3_classes,pesos_completos,TabTransformer,3h,False,0.5968,0.5925,0.6419,0.6349,0.3336,0.7146,0.7423,60
clima_vs_atraso,undersample_111,LightGBM,3h,True,0.909,0.9087,0.909,0.9087,,0.9071,0.9109,61
clima_vs_atraso,undersample_111,FT-Transformer,3h,True,0.8416,0.8378,0.8435,0.8388,,0.8243,0.8589,62
clima_vs_atraso,undersample_111,TabTransformer,3h,True,0.8883,0.8893,0.8883,0.8894,,0.8875,0.8892,63
clima_vs_atraso,undersample_111,LightGBM,3h,False,0.918,0.9178,0.918,0.9178,,0.9171,0.9188,64
clima_vs_atraso,undersample_111,FT-Transformer,3h,False,0.8841,0.8818,0.8845,0.8819,,0.8773,0.891,65
clima_vs_atraso,undersample_111,TabTransformer,3h,False,0.9032,0.9028,0.9035,0.9028,,0.8981,0.9083,66
clima_vs_atraso,pesos_completos,LightGBM,3h,True,0.9074,0.9071,0.9074,0.9071,,0.9053,0.9095,67
clima_vs_atraso,pesos_completos,FT-Transformer,3h,True,0.8516,0.8495,0.8525,0.8498,,0.8401,0.8631,68
clima_vs_atraso,pesos_completos,TabTransformer,3h,True,0.8868,0.8883,0.8868,0.8886,,0.8883,0.8853,69
clima_vs_atraso,pesos_completos,LightGBM,3h,False,0.9105,0.9103,0.9106,0.9103,,0.9087,0.9124,70
clima_vs_atraso,pesos_completos,FT-Transformer,3h,False,0.8791,0.8786,0.8791,0.8787,,0.8783,0.8799,71
clima_vs_atraso,pesos_completos,TabTransformer,3h,False,0.8786,0.8775,0.8787,0.8776,,0.875,0.8822,72
3_classes,undersample_111,LightGBM,4h,True,0.9034,0.9048,0.9037,0.9068,0.9973,0.8661,0.8468,73
3_classes,undersample_111,FT-Transformer,4h,True,0.8696,0.869,0.8705,0.871,0.9877,0.7942,0.8268,74
3_classes,undersample_111,TabTransformer,4h,True,0.9052,0.9047,0.9051,0.9057,0.9922,0.8556,0.8677,75
3_classes,undersample_111,LightGBM,4h,False,0.5827,0.5805,0.6216,0.6177,0.3378,0.6986,0.7117,76
3_classes,undersample_111,FT-Transformer,4h,False,0.5186,0.5142,0.5539,0.5475,0.2623,0.6487,0.6447,77
3_classes,undersample_111,TabTransformer,4h,False,0.5785,0.5752,0.6247,0.6188,0.3166,0.7049,0.714,78
3_classes,pesos_completos,LightGBM,4h,True,0.8972,0.8987,0.8979,0.9013,0.9982,0.8604,0.8329,79
3_classes,pesos_completos,FT-Transformer,4h,True,0.8633,0.8628,0.8633,0.8643,0.9946,0.7877,0.8075,80
3_classes,pesos_completos,TabTransformer,4h,True,0.8956,0.8957,0.8953,0.8966,0.9908,0.8453,0.8508,81
3_classes,pesos_completos,LightGBM,4h,False,0.5866,0.5842,0.6231,0.619,0.3391,0.7057,0.7151,82
3_classes,pesos_completos,FT-Transformer,4h,False,0.5385,0.5346,0.5745,0.5677,0.3311,0.6211,0.6634,83
3_classes,pesos_completos,TabTransformer,4h,False,0.5826,0.5791,0.6246,0.6184,0.3297,0.6985,0.7195,84
clima_vs_atraso,undersample_111,LightGBM,4h,True,0.8486,0.8512,0.8496,0.8532,,0.8611,0.8361,85
clima_vs_atraso,undersample_111,FT-Transformer,4h,True,0.8391,0.838,0.8396,0.8381,,0.8307,0.8475,86
clima_vs_atraso,undersample_111,TabTransformer,4h,True,0.8623,0.8626,0.8624,0.8626,,0.8599,0.8647,87
clima_vs_atraso,undersample_111,LightGBM,4h,False,0.8564,0.8591,0.8574,0.861,,0.8685,0.8443,88
clima_vs_atraso,undersample_111,FT-Transformer,4h,False,0.8173,0.8174,0.8173,0.8175,,0.8153,0.8192,89
clima_vs_atraso,undersample_111,TabTransformer,4h,False,0.8765,0.8765,0.8767,0.8765,,0.8721,0.881,90
clima_vs_atraso,pesos_completos,LightGBM,4h,True,0.8469,0.849,0.8476,0.8505,,0.8572,0.8366,91
clima_vs_atraso,pesos_completos,FT-Transformer,4h,True,0.8317,0.8315,0.8319,0.8315,,0.8268,0.8367,92
clima_vs_atraso,pesos_completos,TabTransformer,4h,True,0.8399,0.84,0.8399,0.8402,,0.8406,0.8392,93
clima_vs_atraso,pesos_completos,LightGBM,4h,False,0.8633,0.8657,0.8642,0.8675,,0.8745,0.8521,94
clima_vs_atraso,pesos_completos,FT-Transformer,4h,False,0.8198,0.818,0.8213,0.8186,,0.8035,0.8361,95
clima_vs_atraso,pesos_completos,TabTransformer,4h,False,0.8477,0.8464,0.8483,0.8466,,0.838,0.8574,96
